C0001,"('C0137', 0.9993600788417095)","('C0152', 0.9956575062125337)","('C0121', 0.9930123335059389)"
C0002,"('C0029', 0.9996379596731121)","('C0199', 0.9988672178177447)","('C0010', 0.9988313958473667)"
C0003,"('C0005', 0.9998942821541472)","('C0178', 0.9995651300881158)","('C0144', 0.9992167799811654)"
C0004,"('C0067', 0.9999912751252354)","('C0021', 0.9996580546333909)","('C0075', 0.9992876794675158)"
C0005,"('C0003', 0.9998942821541472)","('C0073', 0.9994945201465776)","('C0063', 0.9992593273871893)"
C0006,"('C0079', 0.9999831359034949)","('C0117', 0.9984084372142996)","('C0196', 0.9924309304016622)"
C0007,"('C0085', 0.9998000368261724)","('C0140', 0.9978130376911357)","('C0070', 0.9948993057146706)"
C0008,"('C0084', 0.9957164129456433)","('C0194', 0.9934494400280591)","('C0154', 0.9889044267318924)"
C0009,"('C0077', 0.9998324515798348)","('C0032', 0.9979902268753805)","('C0002', 0.9976551362913945)"
C0010,"('C0029', 0.9997701755882141)","('C0025', 0.9993912464818914)","('C0002', 0.9988313958473667)"
C0011,"('C0183', 0.999829425164536)","('C0048', 0.9998279888669042)","('C0016', 0.9997808516381221)"
C0012,"('C0136', 0.9997460356266584)","('C0102', 0.999736644679362)","('C0155', 0.9978379714416703)"
C0013,"('C0045', 0.9999845161035827)","('C0143', 0.9999344393626718)","('C0041', 0.9993029425579489)"
C0014,"('C0128', 0.998457997306867)","('C0058', 0.9954272208198852)","('C0151', 0.9949361730573426)"
C0015,"('C0132', 0.9996973202070657)","('C0036', 0.9991668338653222)","('C0035', 0.998351960879624)"
C0016,"('C0048', 0.999997149167357)","('C0183', 0.9999969608543907)","('C0064', 0.9999342403768492)"
C0017,"('C0162', 0.9997364930257547)","('C0113', 0.9996188500909334)","('C0093', 0.9983095806756535)"
C0018,"('C0200', 0.9999999726605476)","('C0170', 0.9999991131751313)","('C0182', 0.9999985363378524)"
C0019,"('C0172', 0.9999956320520736)","('C0116', 0.9887306161843397)","('C0034', 0.9558368734609233)"
C0020,"('C0110', 0.9995002965632798)","('C0042', 0.9968568042379926)","('C0129', 0.9960709068486583)"
